Event []	DATE/TIME []	Location []	IUCN Red List status []	Species []	LATITUDE []	LONGITUDE []	DEPTH, water [m]	Temperature, water [°C]	Latitude 2 []	Longitude 2 []	Uniform resource locator/link to reference []
PS132/1-2	2016-05-08T07:00:00	Bremerhaven, Germany	Extinct in the Wild	Stenella coeruleoalba	70.7	18.5	0.085	0.335	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2020-02-18T18:00:00	Bremerhaven, Germany	Least Concern	Tursiops truncatus	70.8	19	0.09	0.716	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2015-10-27T01:00:00	Bremerhaven, Germany	Near Threatened	Delphinus delphis	70.9	19.5	0.095	0.502	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2013-07-20T10:00:00	Bremerhaven, Germany	Endangered	Stenella coeruleoalba	71	20	0.1	0.412	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2014-03-18T02:00:00	Bremerhaven, Germany	Extinct in the Wild	Tursiops truncatus	71.1	20.5	0.105	0.493	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2015-05-14T01:00:00	Bremerhaven, Germany	Least Concern	Delphinus delphis	71.2	21	0.11	0.957	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2012-03-21T15:00:00	Bremerhaven, Germany	Near Threatened	Stenella coeruleoalba	71.3	21.5	0.115	0.569	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2010-10-15T16:00:00	Bremerhaven, Germany	Endangered	Tursiops truncatus	71.4	22	0.12	0.962	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2013-05-27T08:00:00	Bremerhaven, Germany	Extinct in the Wild	Delphinus delphis	71.5	22.5	0.125	0.543	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2017-06-02T15:00:00	Bremerhaven, Germany	Least Concern	Stenella coeruleoalba	71.6	23	0.13	0.174	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2017-09-23T05:00:00	Bremerhaven, Germany	Near Threatened	Tursiops truncatus	71.7	23.5	0.135	0.79	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2017-10-11T06:00:00	Bremerhaven, Germany	Endangered	Delphinus delphis	71.8	24	0.14	0.53	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2021-03-06T22:00:00	Bremerhaven, Germany	Extinct in the Wild	Stenella coeruleoalba	71.9	24.5	0.145	0.447	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2019-01-02T00:00:00	Bremerhaven, Germany	Least Concern	Tursiops truncatus	72	25	0.15	0.705	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2020-03-23T12:00:00	Bremerhaven, Germany	Near Threatened	Delphinus delphis	72.1	25.5	0.155	0.598	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2019-04-25T20:00:00	Bremerhaven, Germany	Endangered	Stenella coeruleoalba	72.2	26	0.16	0.13	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2018-02-05T22:00:00	Bremerhaven, Germany	Extinct in the Wild	Tursiops truncatus	72.3	26.5	0.165	0.004	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2016-02-28T08:00:00	Bremerhaven, Germany	Least Concern	Delphinus delphis	72.4	27	0.17	0.413	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2018-03-08T01:00:00	Bremerhaven, Germany	Near Threatened	Stenella coeruleoalba	72.5	27.5	0.175	0.534	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2013-07-26T21:00:00	Bremerhaven, Germany	Endangered	Tursiops truncatus	72.6	28	0.18	0.154	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2020-05-16T10:00:00	Bremerhaven, Germany	Extinct in the Wild	Delphinus delphis	72.7	28.5	0.185	0.431	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2014-09-12T13:00:00	Bremerhaven, Germany	Least Concern	Stenella coeruleoalba	72.8	29	0.19	0.949	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2014-12-19T01:00:00	Bremerhaven, Germany	Near Threatened	Tursiops truncatus	72.9	29.5	0.195	0.155	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2015-06-07T16:00:00	Bremerhaven, Germany	Endangered	Delphinus delphis	73	30	0.2	0.571	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2010-10-03T08:00:00	Bremerhaven, Germany	Extinct in the Wild	Stenella coeruleoalba	73.1	30.5	0.205	0.66	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2018-03-06T10:00:00	Bremerhaven, Germany	Least Concern	Tursiops truncatus	73.2	31	0.21	0.525	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2016-10-14T09:00:00	Bremerhaven, Germany	Near Threatened	Delphinus delphis	73.3	31.5	0.215	0.31	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2011-07-10T12:00:00	Bremerhaven, Germany	Endangered	Stenella coeruleoalba	73.4	32	0.22	0.217	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2019-06-11T20:00:00	Bremerhaven, Germany	Extinct in the Wild	Tursiops truncatus	73.5	32.5	0.225	0.435	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2011-12-23T14:00:00	Bremerhaven, Germany	Least Concern	Delphinus delphis	73.6	33	0.23	0.682	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2013-05-29T09:00:00	Bremerhaven, Germany	Near Threatened	Stenella coeruleoalba	73.7	33.5	0.235	0.968	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2010-05-13T09:00:00	Bremerhaven, Germany	Endangered	Tursiops truncatus	73.8	34	0.24	0.051	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2010-09-27T15:00:00	Bremerhaven, Germany	Extinct in the Wild	Delphinus delphis	73.9	34.5	0.245	0.884	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2016-01-03T13:00:00	Bremerhaven, Germany	Least Concern	Stenella coeruleoalba	74	35	0.25	0.654	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2017-09-23T11:00:00	Bremerhaven, Germany	Near Threatened	Tursiops truncatus	74.1	35.5	0.255	0.418	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2019-10-17T02:00:00	Bremerhaven, Germany	Endangered	Delphinus delphis	74.2	36	0.26	0.748	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2014-09-18T11:00:00	Bremerhaven, Germany	Extinct in the Wild	Stenella coeruleoalba	74.3	36.5	0.265	0.961	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2010-07-02T21:00:00	Bremerhaven, Germany	Least Concern	Tursiops truncatus	74.4	37	0.27	0.146	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2011-04-18T05:00:00	Bremerhaven, Germany	Near Threatened	Delphinus delphis	74.5	37.5	0.275	0.847	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2010-05-01T11:00:00	Bremerhaven, Germany	Endangered	Stenella coeruleoalba	74.6	38	0.28	0.585	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2020-01-04T12:00:00	Bremerhaven, Germany	Extinct in the Wild	Tursiops truncatus	74.7	38.5	0.285	0.16	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2017-12-03T00:00:00	Bremerhaven, Germany	Least Concern	Delphinus delphis	74.8	39	0.29	0.265	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2019-06-29T04:00:00	Bremerhaven, Germany	Near Threatened	Stenella coeruleoalba	74.9	39.5	0.295	0.586	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2011-06-28T18:00:00	Bremerhaven, Germany	Endangered	Tursiops truncatus	75	40	0.3	0.866	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2020-09-02T10:00:00	Bremerhaven, Germany	Extinct in the Wild	Delphinus delphis	75.1	40.5	0.305	0.129	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2020-08-28T13:00:00	Bremerhaven, Germany	Least Concern	Stenella coeruleoalba	75.2	41	0.31	0.732	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2012-04-03T21:00:00	Bremerhaven, Germany	Near Threatened	Tursiops truncatus	75.3	41.5	0.315	0.693	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2020-08-03T20:00:00	Bremerhaven, Germany	Endangered	Delphinus delphis	75.4	42	0.32	0.55	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2013-08-11T21:00:00	Bremerhaven, Germany	Extinct in the Wild	Stenella coeruleoalba	75.5	42.5	0.325	0.459	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2016-07-03T19:00:00	Bremerhaven, Germany	Least Concern	Tursiops truncatus	75.6	43	0.33	0.859	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2013-06-18T06:00:00	Bremerhaven, Germany	Near Threatened	Delphinus delphis	75.7	43.5	0.335	0.864	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2020-12-25T21:00:00	Bremerhaven, Germany	Endangered	Stenella coeruleoalba	75.8	44	0.34	0.952	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2012-09-03T22:00:00	Bremerhaven, Germany	Extinct in the Wild	Tursiops truncatus	75.9	44.5	0.345	0.965	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2019-06-23T14:00:00	Bremerhaven, Germany	Least Concern	Delphinus delphis	76	45	0.35	0.622	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2016-01-21T21:00:00	Bremerhaven, Germany	Near Threatened	Stenella coeruleoalba	76.1	45.5	0.355	0.141	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2019-04-17T13:00:00	Bremerhaven, Germany	Endangered	Tursiops truncatus	76.2	46	0.36	0.837	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2011-06-24T17:00:00	Bremerhaven, Germany	Extinct in the Wild	Delphinus delphis	76.3	46.5	0.365	0.609	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2011-04-24T06:00:00	Bremerhaven, Germany	Least Concern	Stenella coeruleoalba	76.4	47	0.37	0.26	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2011-02-12T04:00:00	Bremerhaven, Germany	Near Threatened	Tursiops truncatus	76.5	47.5	0.375	0.737	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2016-12-25T14:00:00	Bremerhaven, Germany	Endangered	Delphinus delphis	76.6	48	0.38	0.27	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2012-11-11T01:00:00	Bremerhaven, Germany	Extinct in the Wild	Stenella coeruleoalba	76.7	48.5	0.385	0.115	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2015-01-07T03:00:00	Bremerhaven, Germany	Least Concern	Tursiops truncatus	76.8	49	0.39	0.336	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2010-09-13T08:00:00	Bremerhaven, Germany	Near Threatened	Delphinus delphis	76.9	49.5	0.395	0.917	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2020-01-03T17:00:00	Bremerhaven, Germany	Endangered	Stenella coeruleoalba	77	50	0.4	0.291	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2018-09-26T09:00:00	Bremerhaven, Germany	Extinct in the Wild	Tursiops truncatus	77.1	50.5	0.405	0.593	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2013-09-16T07:00:00	Bremerhaven, Germany	Least Concern	Delphinus delphis	77.2	51	0.41	0.954	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2011-07-16T00:00:00	Bremerhaven, Germany	Near Threatened	Stenella coeruleoalba	77.3	51.5	0.415	0.9	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2019-06-26T06:00:00	Bremerhaven, Germany	Endangered	Tursiops truncatus	77.4	52	0.42	0.563	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2012-03-01T10:00:00	Bremerhaven, Germany	Extinct in the Wild	Delphinus delphis	77.5	52.5	0.425	0.772	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2014-06-24T19:00:00	Bremerhaven, Germany	Least Concern	Stenella coeruleoalba	77.6	53	0.43	0.65	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2010-12-08T10:00:00	Bremerhaven, Germany	Near Threatened	Tursiops truncatus	77.7	53.5	0.435	0.883	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2019-07-21T04:00:00	Bremerhaven, Germany	Endangered	Delphinus delphis	77.8	54	0.44	0.321	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2017-08-22T23:00:00	Bremerhaven, Germany	Extinct in the Wild	Stenella coeruleoalba	77.9	54.5	0.445	0.278	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2012-06-07T07:00:00	Bremerhaven, Germany	Least Concern	Tursiops truncatus	78	55	0.45	0.599	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2014-06-17T06:00:00	Bremerhaven, Germany	Near Threatened	Delphinus delphis	78.1	55.5	0.455	0.544	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2011-03-30T02:00:00	Bremerhaven, Germany	Endangered	Stenella coeruleoalba	78.2	56	0.46	0.301	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2016-08-06T10:00:00	Bremerhaven, Germany	Extinct in the Wild	Tursiops truncatus	78.3	56.5	0.465	0.319	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2013-10-27T02:00:00	Bremerhaven, Germany	Least Concern	Delphinus delphis	78.4	57	0.47	0.013	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2016-11-14T12:00:00	Bremerhaven, Germany	Near Threatened	Stenella coeruleoalba	78.5	57.5	0.475	0.188	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2015-07-09T18:00:00	Bremerhaven, Germany	Endangered	Tursiops truncatus	78.6	58	0.48	0.717	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2012-08-13T16:00:00	Bremerhaven, Germany	Extinct in the Wild	Delphinus delphis	78.7	58.5	0.485	0.382	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2017-02-14T14:00:00	Bremerhaven, Germany	Least Concern	Stenella coeruleoalba	78.8	59	0.49	0.181	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2013-12-13T18:00:00	Bremerhaven, Germany	Near Threatened	Tursiops truncatus	78.9	59.5	0.495	0.299	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2015-06-14T11:00:00	Bremerhaven, Germany	Endangered	Delphinus delphis	79	60	0.5	0.748	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2016-08-23T14:00:00	Bremerhaven, Germany	Extinct in the Wild	Stenella coeruleoalba	79.1	60.5	0.505	0.869	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2020-06-23T01:00:00	Bremerhaven, Germany	Least Concern	Tursiops truncatus	79.2	61	0.51	0.614	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2016-11-07T21:00:00	Bremerhaven, Germany	Near Threatened	Delphinus delphis	79.3	61.5	0.515	0.865	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2013-11-18T20:00:00	Bremerhaven, Germany	Endangered	Stenella coeruleoalba	79.4	62	0.52	0.31	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2017-02-22T01:00:00	Bremerhaven, Germany	Extinct in the Wild	Tursiops truncatus	79.5	62.5	0.525	0.397	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2010-07-30T23:00:00	Bremerhaven, Germany	Least Concern	Delphinus delphis	79.6	63	0.53	0.842	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2018-07-31T13:00:00	Bremerhaven, Germany	Near Threatened	Stenella coeruleoalba	79.7	63.5	0.535	0.349	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2010-07-07T03:00:00	Bremerhaven, Germany	Endangered	Tursiops truncatus	79.8	64	0.54	0.188	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2015-07-11T12:00:00	Bremerhaven, Germany	Extinct in the Wild	Delphinus delphis	79.9	64.5	0.545	0.13	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2016-04-29T10:00:00	Bremerhaven, Germany	Least Concern	Stenella coeruleoalba	80	65	0.55	0.291	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2014-12-24T02:00:00	Bremerhaven, Germany	Near Threatened	Tursiops truncatus	80.1	65.5	0.555	0.956	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2014-02-05T23:00:00	Bremerhaven, Germany	Endangered	Delphinus delphis	80.2	66	0.56	0.971	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2012-06-08T18:00:00	Bremerhaven, Germany	Extinct in the Wild	Stenella coeruleoalba	80.3	66.5	0.565	0.322	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2010-10-18T10:00:00	Bremerhaven, Germany	Least Concern	Tursiops truncatus	80.4	67	0.57	0.179	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2019-04-04T18:00:00	Bremerhaven, Germany	Near Threatened	Delphinus delphis	80.5	67.5	0.575	0.967	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2013-07-25T10:00:00	Bremerhaven, Germany	Endangered	Stenella coeruleoalba	80.6	68	0.58	0.621	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2015-10-06T12:00:00	Bremerhaven, Germany	Extinct in the Wild	Tursiops truncatus	80.7	68.5	0.585	0.378	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2016-12-06T07:00:00	Bremerhaven, Germany	Least Concern	Delphinus delphis	80.8	69	0.59	0.056	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2017-04-18T06:00:00	Bremerhaven, Germany	Near Threatened	Stenella coeruleoalba	80.9	69.5	0.595	0.229	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2010-08-17T22:00:00	Bremerhaven, Germany	Endangered	Tursiops truncatus	81	70	0.6	0.924	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2020-12-08T14:00:00	Bremerhaven, Germany	Extinct in the Wild	Delphinus delphis	81.1	70.5	0.605	0.469	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2012-11-02T21:00:00	Bremerhaven, Germany	Least Concern	Stenella coeruleoalba	81.2	71	0.61	0.874	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2012-01-07T06:00:00	Bremerhaven, Germany	Near Threatened	Tursiops truncatus	81.3	71.5	0.615	0.894	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2019-01-24T18:00:00	Bremerhaven, Germany	Endangered	Delphinus delphis	81.4	72	0.62	0.159	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2019-12-31T09:00:00	Bremerhaven, Germany	Extinct in the Wild	Stenella coeruleoalba	81.5	72.5	0.625	0.333	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2018-03-25T14:00:00	Bremerhaven, Germany	Least Concern	Tursiops truncatus	81.6	73	0.63	0.791	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2018-03-13T21:00:00	Bremerhaven, Germany	Near Threatened	Delphinus delphis	81.7	73.5	0.635	0.043	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2018-09-22T04:00:00	Bremerhaven, Germany	Endangered	Stenella coeruleoalba	81.8	74	0.64	0.82	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2013-09-29T01:00:00	Bremerhaven, Germany	Extinct in the Wild	Tursiops truncatus	81.9	74.5	0.645	0.572	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2018-04-30T19:00:00	Bremerhaven, Germany	Least Concern	Delphinus delphis	82	75	0.65	0.906	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2016-03-31T01:00:00	Bremerhaven, Germany	Near Threatened	Stenella coeruleoalba	82.1	75.5	0.655	0.772	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2014-10-26T08:00:00	Bremerhaven, Germany	Endangered	Tursiops truncatus	82.2	76	0.66	0.936	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2010-05-13T00:00:00	Bremerhaven, Germany	Extinct in the Wild	Delphinus delphis	82.3	76.5	0.665	0.287	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2011-04-17T05:00:00	Bremerhaven, Germany	Least Concern	Stenella coeruleoalba	82.4	77	0.67	0.317	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2015-10-06T06:00:00	Bremerhaven, Germany	Near Threatened	Tursiops truncatus	82.5	77.5	0.675	0.482	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2016-04-05T23:00:00	Bremerhaven, Germany	Endangered	Delphinus delphis	82.6	78	0.68	0.049	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2017-06-01T12:00:00	Bremerhaven, Germany	Extinct in the Wild	Stenella coeruleoalba	82.7	78.5	0.685	0.155	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2015-01-17T15:00:00	Bremerhaven, Germany	Least Concern	Tursiops truncatus	82.8	79	0.69	0.654	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2010-05-17T13:00:00	Bremerhaven, Germany	Near Threatened	Delphinus delphis	82.9	79.5	0.695	0.331	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2013-04-28T15:00:00	Bremerhaven, Germany	Endangered	Stenella coeruleoalba	83	80	0.7	0.743	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2011-05-23T11:00:00	Bremerhaven, Germany	Extinct in the Wild	Tursiops truncatus	83.1	80.5	0.705	0.061	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2010-04-08T01:00:00	Bremerhaven, Germany	Least Concern	Delphinus delphis	83.2	81	0.71	0.347	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2012-11-25T13:00:00	Bremerhaven, Germany	Near Threatened	Stenella coeruleoalba	83.3	81.5	0.715	0.173	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
PS132/1-2	2017-07-10T14:00:00	Bremerhaven, Germany	Endangered	Tursiops truncatus	83.4	82	0.72	0.484	53.549999	8.583333	https://doi.org/10.1594/PANGAEA.945749
